,geometry,LAYER,MAP_NAME,NAME,min,max,mean,count,sum,volume_m3,area_m2
56,"POLYGON Z ((289586.9602760249 5130239.082003545 0, 289591.95723016 5130238.907506062 0, 289591.608235193 5130228.913597791 0, 289586.6112810579 5130229.088095275 0, 289586.9602760249 5130239.082003545 0))",Coverage/Quad,User Created Features,68,0.080780029296875,4.330718994140625,2.1599561269623586,4442,9594.525115966797,107.98322074723735,50.00000000005159
57,"POLYGON Z ((289591.95723016 5130238.907506062 0, 289596.9541842951 5130238.733008577 0, 289596.6051893281 5130228.739100308 0, 289591.608235193 5130228.913597791 0, 289591.95723016 5130238.907506062 0))",Coverage/Quad,User Created Features,69,0.07806396484375,4.5438232421875,3.2899818978993896,4439,14604.22964477539,164.36579554633022,49.999999998183156
58,"POLYGON Z ((289596.9541842951 5130238.733008577 0, 289601.9511384302 5130238.558511094 0, 289601.6021434632 5130228.564602824 0, 289596.6051893281 5130228.739100308 0, 289596.9541842951 5130238.733008577 0))",Coverage/Quad,User Created Features,70,1.95159912109375,5.090423583984375,3.8338885568107486,4443,17033.966857910156,191.7116877788788,49.99999999818316
59,"POLYGON Z ((289601.9511384302 5130238.558511094 0, 289606.9480925653 5130238.384013611 0, 289606.5990975983 5130228.390105341 0, 289601.6021434632 5130228.564602824 0, 289601.9511384302 5130238.558511094 0))",Coverage/Quad,User Created Features,71,0.42999267578125,4.91656494140625,3.1990278759204633,4439,14200.484741210938,159.8217796080511,50.000000000347534
60,"POLYGON Z ((289606.9480925653 5130238.384013611 0, 289611.9450467004 5130238.209516128 0, 289611.5960517334 5130228.215607857 0, 289606.5990975983 5130228.390105341 0, 289606.9480925653 5130238.384013611 0))",Coverage/Quad,User Created Features,72,0.4486083984375,4.8896484375,3.399537259530828,4442,15100.744506835938,169.95390681876245,50.000000000347534
61,"POLYGON Z ((289611.9450467004 5130238.209516128 0, 289616.9420008355 5130238.035018644 0, 289616.5930058685 5130228.041110374 0, 289611.5960517334 5130228.215607857 0, 289611.9450467004 5130238.209516128 0))",Coverage/Quad,User Created Features,73,1.6673583984375,5.02728271484375,3.825195834285363,4445,17002.995483398438,191.3631151574805,50.00000000005159
62,"POLYGON Z ((289616.9420008355 5130238.035018644 0, 289621.9389549706 5130237.86052116 0, 289621.5899600036 5130227.86661289 0, 289616.5930058685 5130228.041110374 0, 289616.9420008355 5130238.035018644 0))",Coverage/Quad,User Created Features,74,1.483306884765625,5.32305908203125,4.035226425985939,4437,17904.29965209961,201.50699678089703,50.000000000672564
63,"POLYGON Z ((289621.9389549706 5130237.86052116 0, 289626.9359091057 5130237.686023677 0, 289626.5869141387 5130227.692115407 0, 289621.5899600036 5130227.86661289 0, 289621.9389549706 5130237.86052116 0))",Coverage/Quad,User Created Features,75,2.063323974609375,5.453277587890625,4.078529452312114,4445,18129.063415527344,204.0366389246032,50.000000000347534
64,"POLYGON Z ((289626.9359091057 5130237.686023677 0, 289631.9328632408 5130237.511526193 0, 289631.5838682738 5130227.517617923 0, 289626.5869141387 5130227.692115407 0, 289626.9359091057 5130237.686023677 0))",Coverage/Quad,User Created Features,76,0.279449462890625,4.842620849609375,3.276927008269474,4445,14565.940551757812,163.9348644128395,50.00000000005159
65,"POLYGON Z ((289631.9328632408 5130237.511526193 0, 289636.9298173759 5130237.33702871 0, 289636.5808224088 5130227.34312044 0, 289631.5838682738 5130227.517617923 0, 289631.9328632408 5130237.511526193 0))",Coverage/Quad,User Created Features,77,0.00994873046875,4.186676025390625,2.436995473860406,4441,10822.696899414062,121.8058897386198,50.000000000347534
